Sextant,CANChannel,Row,Column,Type,DeviceID,PatchPanel
MW,CAN1,R+1,C12,Robot,P0881,x
MW,CAN1,R+1,C13,Robot,P0602,x
MW,CAN1,R+1,C14,Robot,P0983,x
MW,CAN1,R+1,C15,Robot,P0618,x
MW,CAN1,R0,C12,Robot,P0601,x
MW,CAN1,R0,C13,Robot,P0928,x
MW,CAN1,R0,C14,FIF,FTO201158A,x
MW,CAN1,R0,C15,Robot,P0987,x
MW,CAN1,R0,C16,Robot,P0939,x
MW,CAN1,R-1,C12,Robot,P0438,x
MW,CAN1,R-1,C13,Robot,P0445,x
MW,CAN1,R-1,C14,Robot,P0553,x
MW,CAN1,R-1,C15,Robot,P0923,x
